account,risk_score,risk_tier,typology,ring,sla,layers_triggered,total_inflow_inr,total_outflow_inr,exposure_inr,txn_count,betweenness,ml_anomaly_score,recommended_action,grounds_of_suspicion
HDFC259211,2,MEDIUM,Fan-out / fan-in,RING-01,T+1,PASS-THROUGH,490000,480000,490000,2,0.003535,0.1201,Analyst review queue,"[PASS-THROUGH] Received Rs 490,000 from UTIB119613 on day 19 and forwarded Rs 480,000 to ICIC917857 on day 20 - 98.0% passed on, 2.0% skimmed, held 1 day(s). The account stores no value; it is a conduit, which is the defining signature of a money mule. It is not a settlement rail: the behaviour occurs 1 time(s), not on a recurring schedule."
HDFC300599,2,MEDIUM,Circular flow,RING-09,T+1,CYCLE,505492,545433,545433,2,0.00101,0.1173,Analyst review queue,"[CYCLE] Member of a closed 3-hop loop carrying Rs 1,557,210, closed in 2 day(s): HDFC300599 -> HDFC574140 -> SBIN909774 -> HDFC300599. Hops are chronologically ordered and 93% of value is conserved around the loop, so the money genuinely round-tripped. Funds return to their origin, so no net economic value is exchanged - the only product of the loop is transaction history."
HDFC574140,2,MEDIUM,Circular flow,RING-09,T+1,CYCLE,545433,671254,671254,3,0.001515,0.0953,Analyst review queue,"[CYCLE] Member of a closed 3-hop loop carrying Rs 1,557,210, closed in 2 day(s): HDFC300599 -> HDFC574140 -> SBIN909774 -> HDFC300599. Hops are chronologically ordered and 93% of value is conserved around the loop, so the money genuinely round-tripped. Funds return to their origin, so no net economic value is exchanged - the only product of the loop is transaction history."
HDFC801992,2,MEDIUM,Fan-out / fan-in,RING-01,T+1,FAN,0,2175825,2175825,3,0.0,0.0241,Analyst review queue,"[FAN] Split Rs 2,175,825 across 3 intermediaries (ICIC176070, ICIC511423, PUNB549145) which then reconverged on CNRB243795 as Rs 1,853,934 (14.8% retained as commission). The intermediaries devote 100% of all their activity to this one flow, so they are conduits rather than businesses with their own trade. Splitting then rejoining serves no commercial purpose - it exists to break the audit trail between origin and destination."
ICIC176070,2,MEDIUM,Fan-out / fan-in,RING-01,T+1,FAN,807899,768386,807899,2,0.000673,0.1013,Analyst review queue,"[FAN] Intermediary leg of the HDFC801992 -> ... -> CNRB243795 split-and-rejoin structure; received Rs 807,899 and forwarded Rs 768,386."
ICIC359685,2,MEDIUM,Fan-out / fan-in,RING-03,T+1,FAN,451508,335281,451508,2,0.000505,0.1242,Analyst review queue,"[FAN] Intermediary leg of the IDIB312429 -> ... -> SBIN632840 split-and-rejoin structure; received Rs 451,508 and forwarded Rs 335,281."
ICIC511423,2,MEDIUM,Fan-out / fan-in,RING-01,T+1,FAN,822375,469287,822375,2,0.000673,0.1143,Analyst review queue,"[FAN] Intermediary leg of the HDFC801992 -> ... -> CNRB243795 split-and-rejoin structure; received Rs 822,375 and forwarded Rs 469,287."
ICIC742282,2,MEDIUM,Fan-out / fan-in,RING-04,T+1,FAN,391830,343070,391830,2,0.000505,0.1248,Analyst review queue,"[FAN] Intermediary leg of the UTIB826381 -> ... -> UTIB896910 split-and-rejoin structure; received Rs 391,830 and forwarded Rs 343,070."
IDIB312429,2,MEDIUM,Fan-out / fan-in,RING-03,T+1,FAN,0,1753070,1753070,3,0.0,0.0296,Analyst review queue,"[FAN] Split Rs 1,753,070 across 3 intermediaries (ICIC359685, PUNB372202, UTIB601257) which then reconverged on SBIN632840 as Rs 1,974,566 (-12.6% retained as commission). The intermediaries devote 100% of all their activity to this one flow, so they are conduits rather than businesses with their own trade. Splitting then rejoining serves no commercial purpose - it exists to break the audit trail between origin and destination."
KKBK226182,2,MEDIUM,Circular flow,RING-02,T+1,CYCLE,596513,1076163,1076163,3,0.005051,0.0101,Analyst review queue,"[CYCLE] Member of a closed 5-hop loop carrying Rs 3,042,922, closed in 4 day(s): BARB257079 -> SBIN104123 -> UBIN914225 -> KKBK226182 -> SBIN596493 -> BARB257079. Hops are chronologically ordered and 63% of value is conserved around the loop, so the money genuinely round-tripped. Funds return to their origin, so no net economic value is exchanged - the only product of the loop is transaction history."
PUNB372202,2,MEDIUM,Fan-out / fan-in,RING-03,T+1,FAN,646508,831066,831066,2,0.000505,0.0961,Analyst review queue,"[FAN] Intermediary leg of the IDIB312429 -> ... -> SBIN632840 split-and-rejoin structure; received Rs 646,508 and forwarded Rs 831,066."
PUNB549145,2,MEDIUM,Fan-out / fan-in,RING-01,T+1,FAN,545551,616261,616261,2,0.000673,0.1156,Analyst review queue,"[FAN] Intermediary leg of the HDFC801992 -> ... -> CNRB243795 split-and-rejoin structure; received Rs 545,551 and forwarded Rs 616,261."
PUNB656506,2,MEDIUM,Circular flow,RING-08,T+1,CYCLE,457270,841525,841525,2,0.001515,0.0865,Analyst review queue,"[CYCLE] Member of a closed 4-hop loop carrying Rs 2,307,363, closed in 3 day(s): BARB687513 -> UTIB922369 -> PUNB656506 -> UTIB441817 -> BARB687513. Hops are chronologically ordered and 49% of value is conserved around the loop, so the money genuinely round-tripped. Funds return to their origin, so no net economic value is exchanged - the only product of the loop is transaction history."
SBIN596493,2,MEDIUM,Circular flow,RING-02,T+1,CYCLE,832450,559136,832450,2,0.00303,0.1034,Analyst review queue,"[CYCLE] Member of a closed 5-hop loop carrying Rs 3,042,922, closed in 4 day(s): BARB257079 -> SBIN104123 -> UBIN914225 -> KKBK226182 -> SBIN596493 -> BARB257079. Hops are chronologically ordered and 63% of value is conserved around the loop, so the money genuinely round-tripped. Funds return to their origin, so no net economic value is exchanged - the only product of the loop is transaction history."
SBIN632840,2,MEDIUM,Fan-out / fan-in,RING-03,T+1,FAN,1974566,693188,1974566,5,0.00404,0.0125,Analyst review queue,"[FAN] Consolidation point: received Rs 1,974,566 from 3 accounts that were all funded by the single upstream source IDIB312429 one to five days earlier."
UBIN166447,2,MEDIUM,Fan-out / fan-in,RING-04,T+1,FAN,725752,367035,725752,2,0.000505,0.1153,Analyst review queue,"[FAN] Intermediary leg of the UTIB826381 -> ... -> UTIB896910 split-and-rejoin structure; received Rs 725,752 and forwarded Rs 367,035."
UBIN914225,2,MEDIUM,Circular flow,RING-02,T+1,CYCLE,527242,596513,596513,2,0.004545,0.1118,Analyst review queue,"[CYCLE] Member of a closed 5-hop loop carrying Rs 3,042,922, closed in 4 day(s): BARB257079 -> SBIN104123 -> UBIN914225 -> KKBK226182 -> SBIN596493 -> BARB257079. Hops are chronologically ordered and 63% of value is conserved around the loop, so the money genuinely round-tripped. Funds return to their origin, so no net economic value is exchanged - the only product of the loop is transaction history."
UTIB441817,2,MEDIUM,Circular flow,RING-08,T+1,CYCLE,841525,414816,841525,2,0.001515,0.1067,Analyst review queue,"[CYCLE] Member of a closed 4-hop loop carrying Rs 2,307,363, closed in 3 day(s): BARB687513 -> UTIB922369 -> PUNB656506 -> UTIB441817 -> BARB687513. Hops are chronologically ordered and 49% of value is conserved around the loop, so the money genuinely round-tripped. Funds return to their origin, so no net economic value is exchanged - the only product of the loop is transaction history."
UTIB601257,2,MEDIUM,Fan-out / fan-in,RING-03,T+1,FAN,655054,808219,808219,2,0.000505,0.1041,Analyst review queue,"[FAN] Intermediary leg of the IDIB312429 -> ... -> SBIN632840 split-and-rejoin structure; received Rs 655,054 and forwarded Rs 808,219."
UTIB826381,2,MEDIUM,Fan-out / fan-in,RING-04,T+1,FAN,0,1541238,1541238,3,0.0,0.0344,Analyst review queue,"[FAN] Split Rs 1,541,238 across 3 intermediaries (ICIC742282, UBIN166447, YESB735581) which then reconverged on UTIB896910 as Rs 996,617 (35.3% retained as commission). The intermediaries devote 100% of all their activity to this one flow, so they are conduits rather than businesses with their own trade. Splitting then rejoining serves no commercial purpose - it exists to break the audit trail between origin and destination."
UTIB896910,2,MEDIUM,Fan-out / fan-in,RING-04,T+1,FAN,996617,622942,996617,5,0.00404,0.0396,Analyst review queue,"[FAN] Consolidation point: received Rs 996,617 from 3 accounts that were all funded by the single upstream source UTIB826381 one to five days earlier."
UTIB922369,2,MEDIUM,Circular flow,RING-08,T+1,CYCLE,593752,457270,593752,2,0.001515,0.1174,Analyst review queue,"[CYCLE] Member of a closed 4-hop loop carrying Rs 2,307,363, closed in 3 day(s): BARB687513 -> UTIB922369 -> PUNB656506 -> UTIB441817 -> BARB687513. Hops are chronologically ordered and 49% of value is conserved around the loop, so the money genuinely round-tripped. Funds return to their origin, so no net economic value is exchanged - the only product of the loop is transaction history."
YESB735581,2,MEDIUM,Fan-out / fan-in,RING-04,T+1,FAN,423656,286512,423656,2,0.000505,0.1125,Analyst review queue,"[FAN] Intermediary leg of the UTIB826381 -> ... -> UTIB896910 split-and-rejoin structure; received Rs 423,656 and forwarded Rs 286,512."
