txn_id,sender,receiver,amount,day,timestamp,channel
TXN00021,SBIN202163,UTIB749078,1000,4,2026-08-04T16:35:00,UPI
TXN00027,IDIB479146,HDFC711097,1000,4,2026-08-04T19:31:00,UPI
TXN00050,ICIC851438,HDFC790504,1000,4,2026-08-04T17:37:00,UPI
TXN00105,UTIB275156,IDIB705136,1000,4,2026-08-04T17:14:00,UPI
TXN00107,UTIB916898,HDFC711097,32700,4,2026-08-04T11:55:00,NEFT
TXN00124,SBIN606098,SBIN677814,1000,4,2026-08-04T09:34:00,UPI
TXN00144,KKBK711316,HDFC694315,1000,4,2026-08-04T23:13:00,UPI
TXN00230,BARB412569,SBIN352223,683474,4,2026-08-04T10:16:00,NEFT
TXN00241,CNRB321293,BARB441824,452290,4,2026-08-04T12:04:00,NEFT
TXN00248,IBKL304268,IDIB554882,455478,4,2026-08-04T11:16:00,NEFT
TXN00260,YESB781233,HDFC938186,372390,4,2026-08-04T17:49:00,NEFT
TXN00295,SBIN932967,UBIN261949,2832677,4,2026-08-04T09:02:00,RTGS
TXN00048,SBIN706020,IBKL482348,6800,5,2026-08-05T19:06:00,IMPS
TXN00094,ICIC427000,SBIN130387,1700,5,2026-08-05T14:49:00,UPI
TXN00118,SBIN734534,ICIC173248,1600,5,2026-08-05T09:02:00,UPI
TXN00133,ICIC766728,IDIB568952,3100,5,2026-08-05T19:56:00,UPI
TXN00150,UTIB698646,ICIC801133,1500,5,2026-08-05T19:53:00,UPI
TXN00221,CNRB163863,ICIC766728,599288,5,2026-08-05T16:23:00,NEFT
TXN00225,SBIN352223,BARB441824,647367,5,2026-08-05T13:27:00,NEFT
TXN00233,HDFC323115,BARB441824,473275,5,2026-08-05T13:22:00,NEFT
TXN00249,IDIB554882,HDFC885903,547429,5,2026-08-05T16:57:00,NEFT
TXN00261,HDFC938186,UTIB237346,410806,5,2026-08-05T12:38:00,NEFT
TXN00009,ICIC967017,IBKL815887,109200,6,2026-08-06T13:40:00,NEFT
TXN00042,SBIN620801,SBIN371764,1500,6,2026-08-06T10:20:00,UPI
TXN00059,ICIC391335,SBIN917710,22400,6,2026-08-06T17:47:00,IMPS
TXN00084,SBIN155129,SBIN813451,3400,6,2026-08-06T09:35:00,UPI
TXN00097,SBIN969117,ICIC620625,1000,6,2026-08-06T18:17:00,UPI
TXN00099,HDFC653918,ICIC676947,12300,6,2026-08-06T13:07:00,UPI
TXN00127,UBIN460717,SBIN706020,10300,6,2026-08-06T12:44:00,IMPS
TXN00142,ICIC967017,SBIN950931,1000,6,2026-08-06T15:30:00,UPI
TXN00149,SBIN251262,ICIC391335,4100,6,2026-08-06T10:51:00,UPI
TXN00184,HDFC574140,SBIN909774,506285,6,2026-08-06T15:49:00,NEFT
TXN00239,HDFC323115,SBIN606098,349043,6,2026-08-06T11:58:00,NEFT
TXN00250,HDFC885903,IBKL304268,532935,6,2026-08-06T17:03:00,NEFT
TXN00262,UTIB237346,YESB781233,321558,6,2026-08-06T18:46:00,NEFT
TXN00276,SBIN190122,IDIB263486,863432,6,2026-08-06T10:14:00,RTGS
TXN00294,ICIC427000,PUNB249924,3058589,6,2026-08-06T02:26:00,RTGS
TXN00036,BARB259367,UTIB958105,1000,7,2026-08-07T15:56:00,UPI
TXN00055,SBIN401394,ICIC917857,1400,7,2026-08-07T12:14:00,UPI
TXN00076,ICIC917857,ICIC150631,1000,7,2026-08-07T18:12:00,UPI
TXN00098,PUNB641415,SBIN734534,1400,7,2026-08-07T18:32:00,UPI
TXN00137,HDFC711097,HDFC685184,2300,7,2026-08-07T10:17:00,UPI
TXN00166,HDFC801992,PUNB549145,545551,7,2026-08-07T17:03:00,NEFT
TXN00167,HDFC801992,ICIC176070,807899,7,2026-08-07T22:15:00,NEFT
TXN00168,HDFC801992,ICIC511423,822375,7,2026-08-07T09:10:00,NEFT
TXN00185,SBIN909774,HDFC300599,505492,7,2026-08-07T14:55:00,NEFT
TXN00219,CNRB163863,SBIN584122,249169,7,2026-08-07T11:51:00,NEFT
TXN00277,IDIB263486,HDFC835567,850480,7,2026-08-07T13:16:00,RTGS
TXN00007,ICIC173248,UTIB769949,1000,8,2026-08-08T10:29:00,UPI
TXN00024,SBIN813451,UTIB769949,1000,8,2026-08-08T16:31:00,UPI
TXN00041,SBIN829070,UTIB769949,3800,8,2026-08-08T14:48:00,UPI
TXN00052,SBIN584122,HDFC318904,3500,8,2026-08-08T09:26:00,UPI
TXN00053,SBIN740595,HDFC765100,1700,8,2026-08-08T14:14:00,UPI
TXN00109,SBIN950931,BARB188896,1400,8,2026-08-08T10:00:00,UPI
TXN00178,UTIB826381,YESB735581,423656,8,2026-08-08T13:08:00,NEFT
TXN00179,UTIB826381,ICIC742282,391830,8,2026-08-08T23:56:00,IMPS
TXN00180,UTIB826381,UBIN166447,725752,8,2026-08-08T04:06:00,NEFT
TXN00186,HDFC300599,HDFC574140,545433,8,2026-08-08T13:55:00,NEFT
TXN00231,SBIN352223,HDFC318904,445948,8,2026-08-08T19:32:00,NEFT
TXN00244,ICIC215268,CNRB321293,631520,8,2026-08-08T19:23:00,NEFT
TXN00245,CNRB321293,IDIB542182,324052,8,2026-08-08T11:45:00,NEFT
TXN00247,CNRB321293,ICIC767357,365892,8,2026-08-08T13:36:00,NEFT
TXN00286,IBKL789195,KKBK724815,955113,8,2026-08-08T18:33:00,RTGS
TXN00005,HDFC632084,UTIB272975,5400,9,2026-08-09T17:58:00,UPI
TXN00008,SBIN677814,HDFC661913,3400,9,2026-08-09T09:33:00,UPI
TXN00073,PUNB640531,UBIN864878,1000,9,2026-08-09T13:12:00,UPI
TXN00077,IDIB813634,UTIB769949,3200,9,2026-08-09T19:00:00,UPI
TXN00204,HDFC206393,UBIN794655,353295,9,2026-08-09T19:45:00,NEFT
TXN00284,HDFC800675,IDIB263486,538480,9,2026-08-09T16:47:00,RTGS
TXN00287,IBKL789195,KKBK724815,904745,9,2026-08-09T09:49:00,RTGS
TXN00014,YESB148845,PUNB309001,1000,10,2026-08-10T02:10:00,UPI
TXN00038,HDFC800675,UTIB916898,3400,10,2026-08-10T17:08:00,UPI
TXN00046,PUNB168157,HDFC284777,1900,10,2026-08-10T09:08:00,UPI
TXN00122,HDFC207119,SBIN714006,3900,10,2026-08-10T15:16:00,UPI
TXN00125,KKBK739906,HDFC359642,3600,10,2026-08-10T09:33:00,UPI
TXN00181,YESB735581,UTIB896910,286512,10,2026-08-10T18:49:00,NEFT
TXN00187,BARB687513,UTIB922369,593752,10,2026-08-10T15:36:00,NEFT
TXN00251,IBKL304268,IDIB554882,410707,10,2026-08-10T13:07:00,NEFT
TXN00263,YESB781233,HDFC938186,559774,10,2026-08-10T11:13:00,NEFT
TXN00285,IDIB263486,BARB412569,530402,10,2026-08-10T09:40:00,RTGS
TXN00288,IBKL789195,KKBK724815,947612,10,2026-08-10T12:53:00,RTGS
TXN00032,UBIN864878,UTIB275156,1000,11,2026-08-11T14:00:00,UPI
TXN00141,SBIN677814,UBIN959077,1900,11,2026-08-11T10:57:00,UPI
TXN00170,ICIC176070,CNRB243795,768386,11,2026-08-11T19:04:00,NEFT
TXN00171,ICIC511423,CNRB243795,469287,11,2026-08-11T00:43:00,NEFT
TXN00183,UBIN166447,UTIB896910,367035,11,2026-08-11T19:48:00,NEFT
TXN00188,UTIB922369,PUNB656506,457270,11,2026-08-11T10:49:00,NEFT
TXN00236,SBIN714006,HDFC323115,275915,11,2026-08-11T12:43:00,NEFT
TXN00252,IDIB554882,HDFC885903,425157,11,2026-08-11T14:27:00,NEFT
TXN00264,HDFC938186,UTIB237346,361848,11,2026-08-11T19:51:00,NEFT
TXN00289,IBKL789195,KKBK724815,943919,11,2026-08-11T18:51:00,RTGS
TXN00060,UBIN959077,IBKL482348,1900,12,2026-08-12T16:10:00,UPI
TXN00069,SBIN104292,HDFC685184,1000,12,2026-08-12T18:05:00,UPI
TXN00079,ICIC513264,SBIN740595,11210800,12,2026-08-12T13:04:00,RTGS
TXN00093,ICIC588625,PUNB168157,1200,12,2026-08-12T10:51:00,UPI
TXN00101,UTIB128356,BARB412569,1000,12,2026-08-12T14:21:00,UPI
TXN00108,ICIC767357,HDFC660559,2100,12,2026-08-12T18:28:00,UPI
TXN00126,CNRB602764,SBIN584122,1900,12,2026-08-12T16:44:00,UPI
TXN00135,ICIC150631,SBIN829070,20200,12,2026-08-12T14:12:00,IMPS
TXN00169,PUNB549145,CNRB243795,616261,12,2026-08-12T13:53:00,NEFT
TXN00172,IDIB312429,PUNB372202,646508,12,2026-08-12T22:31:00,NEFT
TXN00173,IDIB312429,ICIC359685,451508,12,2026-08-12T19:08:00,NEFT
TXN00174,IDIB312429,UTIB601257,655054,12,2026-08-12T14:30:00,NEFT
TXN00189,PUNB656506,UTIB441817,841525,12,2026-08-12T16:04:00,NEFT
TXN00199,CNRB243795,UTIB119613,737650,12,2026-08-12T11:55:00,NEFT
TXN00238,IBKL482348,HDFC323115,369826,12,2026-08-12T10:23:00,NEFT
TXN00253,HDFC885903,IBKL304268,417113,12,2026-08-12T12:06:00,NEFT
TXN00265,UTIB237346,YESB781233,380757,12,2026-08-12T12:00:00,NEFT
TXN00290,IBKL789195,KKBK724815,942025,12,2026-08-12T17:03:00,RTGS
TXN00040,UTIB958105,UTIB275156,1000,13,2026-08-13T19:10:00,UPI
TXN00064,UBIN341960,UTIB916898,1800,13,2026-08-13T01:51:00,UPI
TXN00091,KKBK597183,ICIC513264,1000,13,2026-08-13T16:32:00,UPI
TXN00111,CNRB945234,IDIB597128,1300,13,2026-08-13T16:05:00,UPI
TXN00115,SBIN130387,SBIN155129,1000,13,2026-08-13T19:58:00,UPI
TXN00120,BARB858254,UTIB698646,150700,13,2026-08-13T12:13:00,NEFT
TXN00129,CNRB225728,IDIB479146,1000,13,2026-08-13T10:27:00,UPI
TXN00139,SBIN190122,IDIB813634,1000,13,2026-08-13T03:58:00,UPI
TXN00182,ICIC742282,UTIB896910,343070,13,2026-08-13T18:56:00,NEFT
TXN00190,UTIB441817,BARB687513,414816,13,2026-08-13T19:09:00,NEFT
TXN00207,UBIN794655,SBIN823588,509043,13,2026-08-13T12:51:00,NEFT
TXN00214,UTIB239643,UBIN470969,555290,13,2026-08-13T12:59:00,NEFT
TXN00272,SBIN130387,IDIB263486,304864,13,2026-08-13T10:07:00,RTGS
TXN00080,HDFC765100,SBIN740595,1300,14,2026-08-14T15:42:00,UPI
TXN00083,ICIC215268,ICIC801133,1000,14,2026-08-14T15:07:00,UPI
TXN00146,UTIB151998,HDFC632084,3300,14,2026-08-14T16:13:00,UPI
TXN00151,YESB330254,SBIN243921,961354,14,2026-08-14T19:08:00,NEFT
TXN00206,HDFC765100,UBIN794655,506534,14,2026-08-14T12:24:00,NEFT
TXN00273,IDIB263486,HDFC990174,300291,14,2026-08-14T14:49:00,RTGS
TXN00029,SBIN917710,ICIC299868,7300,15,2026-08-15T15:13:00,IMPS
TXN00072,SBIN231587,UTIB914983,1000,15,2026-08-15T19:15:00,UPI
TXN00090,KKBK464264,UTIB334083,1000,15,2026-08-15T19:49:00,UPI
TXN00132,ICIC287193,KKBK464264,1700,15,2026-08-15T14:10:00,UPI
TXN00145,IDIB705136,UTIB578365,1000,15,2026-08-15T16:32:00,UPI
TXN00152,YESB330254,SBIN243921,961525,15,2026-08-15T13:45:00,NEFT
TXN00161,UBIN261949,SBIN228293,945409,15,2026-08-15T06:50:00,NEFT
TXN00175,PUNB372202,SBIN632840,831066,15,2026-08-15T13:35:00,NEFT
TXN00226,UTIB914983,SBIN352223,696238,15,2026-08-15T18:08:00,NEFT
TXN00291,IBKL789195,KKBK724815,1740661,15,2026-08-15T19:59:00,RTGS
TXN00018,SBIN955770,SBIN829070,1100,16,2026-08-16T18:41:00,UPI
TXN00022,UTIB165839,UTIB151998,2200,16,2026-08-16T16:51:00,UPI
TXN00123,SBIN306261,SBIN190122,3200,16,2026-08-16T18:47:00,UPI
TXN00153,YESB330254,SBIN243921,949302,16,2026-08-16T19:11:00,NEFT
TXN00162,UBIN261949,SBIN228293,970060,16,2026-08-16T18:50:00,NEFT
TXN00176,ICIC359685,SBIN632840,335281,16,2026-08-16T15:21:00,NEFT
TXN00177,UTIB601257,SBIN632840,808219,16,2026-08-16T12:41:00,NEFT
TXN00191,KKBK226182,SBIN596493,832450,16,2026-08-16T22:13:00,NEFT
TXN00254,IBKL304268,IDIB554882,504548,16,2026-08-16T11:03:00,NEFT
TXN00266,YESB781233,HDFC938186,334443,16,2026-08-16T17:26:00,NEFT
TXN00282,UBIN460717,IDIB263486,429026,16,2026-08-16T13:07:00,RTGS
TXN00011,KKBK711316,HDFC632084,13700,17,2026-08-17T16:06:00,IMPS
TXN00012,IDIB705136,SBIN520148,2300,17,2026-08-17T12:14:00,UPI
TXN00085,HDFC694315,IDIB542182,1700,17,2026-08-17T14:18:00,UPI
TXN00110,BARB895158,ICIC801133,1000,17,2026-08-17T15:52:00,UPI
TXN00154,YESB330254,SBIN243921,963120,17,2026-08-17T13:22:00,NEFT
TXN00163,UBIN261949,SBIN228293,911849,17,2026-08-17T19:53:00,NEFT
TXN00192,SBIN596493,BARB257079,559136,17,2026-08-17T09:43:00,NEFT
TXN00255,IDIB554882,HDFC885903,443891,17,2026-08-17T19:01:00,NEFT
TXN00267,HDFC938186,UTIB237346,319030,17,2026-08-17T14:21:00,NEFT
TXN00283,IDIB263486,UBIN864878,422590,17,2026-08-17T11:34:00,RTGS
TXN00299,UTIB896910,ICIC513264,290724,17,2026-08-17T11:28:00,NEFT
TXN00037,IDIB542182,SBIN677814,9400,18,2026-08-18T10:03:00,UPI
TXN00100,SBIN823588,UTIB151998,1000,18,2026-08-18T10:16:00,UPI
TXN00130,UBIN920304,ICIC173248,1000,18,2026-08-18T15:56:00,UPI
TXN00155,YESB330254,SBIN243921,932108,18,2026-08-18T16:27:00,NEFT
TXN00164,UBIN261949,SBIN228293,938934,18,2026-08-18T17:05:00,NEFT
TXN00193,BARB257079,SBIN104123,527581,18,2026-08-18T12:55:00,NEFT
TXN00196,UTIB165839,UTIB119613,500000,18,2026-08-18T16:42:00,NEFT
TXN00200,ICIC626017,UBIN794655,719264,18,2026-08-18T05:36:00,NEFT
TXN00208,ICIC626017,UBIN470969,636595,18,2026-08-18T09:20:00,NEFT
TXN00212,BARB188896,UBIN470969,381850,18,2026-08-18T17:31:00,NEFT
TXN00216,ICIC626017,CNRB163863,683410,18,2026-08-18T14:49:00,NEFT
TXN00234,SBIN251262,HDFC323115,673303,18,2026-08-18T09:16:00,NEFT
TXN00256,HDFC885903,IBKL304268,511792,18,2026-08-18T14:32:00,NEFT
TXN00268,UTIB237346,YESB781233,427722,18,2026-08-18T16:05:00,NEFT
TXN00280,SBIN535469,IDIB263486,786476,18,2026-08-18T10:22:00,RTGS
TXN00047,HDFC835567,ICIC967017,7600,19,2026-08-19T10:25:00,UPI
TXN00117,SBIN371764,ICIC513264,1000,19,2026-08-19T11:02:00,UPI
TXN00165,UBIN261949,SBIN228293,957486,19,2026-08-19T01:16:00,NEFT
TXN00194,SBIN104123,UBIN914225,527242,19,2026-08-19T03:28:00,NEFT
TXN00197,UTIB119613,HDFC259211,490000,19,2026-08-19T00:45:00,IMPS
TXN00220,PUNB156615,CNRB163863,390225,19,2026-08-19T15:49:00,NEFT
TXN00237,HDFC323115,IDIB813634,459217,19,2026-08-19T19:06:00,NEFT
TXN00281,IDIB263486,UTIB914983,774678,19,2026-08-19T09:17:00,RTGS
TXN00003,HDFC661913,IDIB568952,1000,20,2026-08-20T10:07:00,UPI
TXN00030,SBIN702326,SBIN401394,1000,20,2026-08-20T17:17:00,UPI
TXN00056,HDFC359642,IBKL482348,2200,20,2026-08-20T11:57:00,UPI
TXN00065,HDFC284777,SBIN251262,1000,20,2026-08-20T05:59:00,UPI
TXN00088,HDFC318054,SBIN620801,4500,20,2026-08-20T16:11:00,UPI
TXN00092,HDFC990174,SBIN616719,1200,20,2026-08-20T16:53:00,UPI
TXN00106,SBIN333615,UTIB916898,1600,20,2026-08-20T11:08:00,UPI
TXN00147,YESB148845,IBKL961850,2000,20,2026-08-20T09:16:00,UPI
TXN00156,PUNB249924,IDIB774714,983532,20,2026-08-20T11:59:00,NEFT
TXN00195,UBIN914225,KKBK226182,596513,20,2026-08-20T11:46:00,NEFT
TXN00198,HDFC259211,ICIC917857,480000,20,2026-08-20T01:24:00,NEFT
TXN00217,CNRB163863,UTIB641863,382836,20,2026-08-20T17:57:00,NEFT
TXN00274,SBIN251262,IDIB263486,699915,20,2026-08-20T10:46:00,RTGS
TXN00017,UTIB698646,PUNB373799,1100,21,2026-08-21T18:33:00,UPI
TXN00075,PUNB156615,UTIB698646,1000,21,2026-08-21T09:06:00,UPI
TXN00157,PUNB249924,IDIB774714,939736,21,2026-08-21T05:50:00,NEFT
TXN00202,SBIN702326,UBIN794655,390455,21,2026-08-21T15:30:00,NEFT
TXN00209,UBIN470969,UTIB641863,487911,21,2026-08-21T18:58:00,NEFT
TXN00222,SBIN932967,CNRB163863,394861,21,2026-08-21T10:09:00,NEFT
TXN00275,IDIB263486,UBIN460717,689416,21,2026-08-21T09:33:00,RTGS
TXN00010,UTIB334083,HDFC765100,1000,22,2026-08-22T14:51:00,UPI
TXN00023,UTIB749078,SBIN955770,1400,22,2026-08-22T16:16:00,UPI
TXN00054,HDFC161818,BARB188896,1000,22,2026-08-22T09:51:00,UPI
TXN00136,HDFC661913,CNRB291200,13600,22,2026-08-22T15:09:00,IMPS
TXN00143,UTIB334083,SBIN734534,3500,22,2026-08-22T11:57:00,UPI
TXN00148,UTIB239643,SBIN231587,5700,22,2026-08-22T13:06:00,UPI
TXN00158,PUNB249924,IDIB774714,918402,22,2026-08-22T18:00:00,NEFT
TXN00201,UBIN794655,UTIB641863,580017,22,2026-08-22T11:51:00,NEFT
TXN00257,IBKL304268,IDIB554882,373475,22,2026-08-22T17:18:00,NEFT
TXN00269,YESB781233,HDFC938186,308097,22,2026-08-22T16:08:00,NEFT
TXN00292,IBKL789195,KKBK724815,1470587,22,2026-08-22T15:42:00,RTGS
TXN00020,UTIB769949,PUNB309001,4400,23,2026-08-23T19:14:00,UPI
TXN00026,SBIN714006,UTIB769949,1000,23,2026-08-23T18:08:00,UPI
TXN00081,ICIC299868,UTIB958105,1000,23,2026-08-23T13:42:00,UPI
TXN00131,PUNB309001,UBIN959077,14800,23,2026-08-23T19:02:00,NEFT
TXN00159,PUNB249924,IDIB774714,986154,23,2026-08-23T19:18:00,NEFT
TXN00258,IDIB554882,HDFC885903,387423,23,2026-08-23T09:58:00,NEFT
TXN00270,HDFC938186,UTIB237346,429596,23,2026-08-23T18:53:00,NEFT
TXN00301,KKBK226182,IBKL815887,243713,23,2026-08-23T16:39:00,IMPS
TXN00002,ICIC150631,UTIB275156,1000,24,2026-08-24T14:35:00,UPI
TXN00039,HDFC685184,IDIB597128,1000,24,2026-08-24T19:16:00,UPI
TXN00063,IBKL815887,SBIN969117,1200,24,2026-08-24T09:40:00,UPI
TXN00089,KKBK255766,HDFC359642,1100,24,2026-08-24T12:02:00,UPI
TXN00119,IDIB568952,BARB259367,2400,24,2026-08-24T05:12:00,UPI
TXN00160,PUNB249924,IDIB774714,932771,24,2026-08-24T12:11:00,NEFT
TXN00205,UBIN794655,HDFC206393,467625,24,2026-08-24T11:38:00,NEFT
TXN00235,HDFC323115,ICIC287193,522039,24,2026-08-24T16:03:00,NEFT
TXN00242,BARB876314,CNRB321293,665938,24,2026-08-24T16:06:00,NEFT
TXN00259,HDFC885903,IBKL304268,494402,24,2026-08-24T18:11:00,NEFT
TXN00271,UTIB237346,YESB781233,472466,24,2026-08-24T05:36:00,NEFT
TXN00296,SBIN632840,SBIN104292,479383,24,2026-08-24T01:16:00,IMPS
TXN00297,SBIN632840,HDFC660559,213805,24,2026-08-24T00:18:00,NEFT
TXN00300,HDFC574140,PUNB309001,164969,24,2026-08-24T18:18:00,IMPS
TXN00028,SBIN932967,ICIC917857,1000,25,2026-08-25T17:12:00,UPI
TXN00044,HDFC198142,UTIB916898,1000,25,2026-08-25T13:36:00,UPI
TXN00067,SBIN608520,UBIN959077,2300,25,2026-08-25T13:58:00,UPI
TXN00121,IBKL482348,SBIN917710,1900,25,2026-08-25T13:30:00,UPI
TXN00215,UBIN470969,HDFC790504,457436,25,2026-08-25T06:29:00,NEFT
TXN00019,PUNB208061,HDFC685184,2500,26,2026-08-26T17:48:00,UPI
TXN00066,HDFC790504,SBIN231587,2700,26,2026-08-26T10:01:00,UPI
TXN00086,HDFC206393,SBIN620801,1300,26,2026-08-26T11:53:00,UPI
TXN00096,BARB876314,SBIN917710,4600,26,2026-08-26T11:43:00,UPI
TXN00113,PUNB337753,YESB148845,1500,26,2026-08-26T13:18:00,UPI
TXN00203,UBIN794655,HDFC653918,557944,26,2026-08-26T13:50:00,NEFT
TXN00211,UBIN470969,SBIN693851,596264,26,2026-08-26T19:49:00,NEFT
TXN00213,UBIN470969,PUNB641415,255083,26,2026-08-26T12:19:00,NEFT
TXN00298,UTIB896910,SBIN917710,332218,26,2026-08-26T23:57:00,NEFT
TXN00001,SBIN258176,SBIN714006,1000,27,2026-08-27T15:32:00,UPI
TXN00134,SBIN258176,SBIN535469,1000,27,2026-08-27T11:46:00,UPI
TXN00210,KKBK711316,UBIN470969,351268,27,2026-08-27T18:09:00,NEFT
TXN00218,SBIN608520,CNRB163863,664044,27,2026-08-27T16:32:00,NEFT
TXN00034,IBKL223800,ICIC917857,1000,28,2026-08-28T14:59:00,UPI
TXN00045,IDIB597128,ICIC427000,1400,28,2026-08-28T10:17:00,UPI
TXN00138,HDFC632084,HDFC161818,46000,28,2026-08-28T12:32:00,NEFT
TXN00140,ICIC173248,SBIN520148,1900,28,2026-08-28T19:56:00,UPI
TXN00229,SBIN352223,SBIN734534,405241,28,2026-08-28T10:55:00,NEFT
TXN00058,HDFC571007,ICIC767357,1000,29,2026-08-29T14:46:00,UPI
TXN00061,ICIC676947,SBIN932967,1000,29,2026-08-29T12:24:00,UPI
TXN00074,IDIB786782,SBIN616719,1000,29,2026-08-29T12:20:00,UPI
TXN00104,PUNB373799,PUNB156615,1100,29,2026-08-29T22:14:00,UPI
TXN00112,SBIN520148,SBIN371764,1700,29,2026-08-29T13:45:00,UPI
TXN00114,SBIN616719,HDFC359642,1400,29,2026-08-29T12:10:00,UPI
TXN00246,IBKL928494,CNRB321293,490127,29,2026-08-29T11:17:00,NEFT
TXN00033,ICIC738539,HDFC694315,2200,30,2026-08-30T09:57:00,UPI
TXN00087,IDIB743550,IDIB705136,9600,30,2026-08-30T10:57:00,IMPS
